,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
5171,27,Barisal,1951,4,36.7,24.3,137.0,75.0,1.772222222,4.6,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1951.04,0
5172,9132,Ishurdi,2010,1,27.2,9.2,0.0,81.0,2.6,1.2,5.4,41907,402483.2,667640.8,24.12,89.04,14,2010.01,0
5173,5003,Cox's Bazar,2000,12,30.6,16.2,0.0,73.0,0.5,0.4,10.3,41992,705183.0,374324.6,21.46,91.98,4,2000.12,0
5174,18187,Sitakunda,2005,8,35.0,25.3,1081.0,91.0,2.0,6.7,3.1,41965,668856.2,504500.3,22.64,91.64,4,2005.08,1
5175,10344,Khepupara,2005,1,29.1,12.5,95.0,78.0,0.6,1.1,6.3,41984,522893.1,430006.8,21.98,90.22,3,2005.01,0
5176,4015,Comilla,1984,8,36.0,25.1,449.0,86.0,3.1,5.6,5.4,41933,621445.2,596963.4,23.48,91.19,10,1984.08,1
5177,12152,Maijdee Court,1952,9,32.2,25.6,363.0,88.0,1.266666667,6.6,4.951724138,41953,610851.8,524433.6,22.83,91.08,6,1952.09,0
5178,19555,Sylhet,1995,8,34.4,25.3,709.0,86.0,1.0,6.9,4.4,41891,694533.2,752277.9,24.88,91.93,35,1995.08,1
5179,8755,Ishurdi,1978,8,32.5,25.9,257.0,85.0,2.1,6.1,4.944827586,41907,402483.2,667640.8,24.12,89.04,14,1978.08,0
5180,1446,Bogra,1955,7,32.0,26.1,504.0,89.0,1.577777778,6.8,4.435849057,41883,435303.7,751187.5,24.88,89.36,20,1955.07,1
5181,1606,Bogra,1968,11,31.1,17.6,13.0,76.0,0.5,1.5,8.6,41883,435303.7,751187.5,24.88,89.36,20,1968.11,0
5182,15590,Rangamati,2000,3,34.3,19.3,112.0,74.0,1.0,2.8,7.1,41966,725903.3,508021.9,22.67,92.2,63,2000.03,0
5183,9796,Jessore,1999,5,39.2,25.5,141.0,78.0,3.4,5.2,6.7,41936,420062.7,562498.8,23.17,89.22,7,1999.05,0
5184,11730,Madaripur,1980,7,34.0,26.0,381.0,87.0,0.8,5.6,3.661538462,41939,518762.7,561770.3,23.17,90.18,5,1980.07,1
5185,7340,Faridpur,2002,9,35.4,25.8,158.0,85.0,0.9,5.0,5.7,41929,483877.3,610719.3,23.61,89.84,9,2002.09,0
5186,4869,Cox's Bazar,1989,10,33.0,24.1,516.0,88.0,1.4,5.8,4.9,41992,705183.0,374324.6,21.46,91.98,4,1989.1,1
5187,15553,Rangamati,1997,2,32.0,13.4,14.0,70.0,0.9,1.7,8.6,41966,725903.3,508021.9,22.67,92.2,63,1997.02,0
5188,5911,Dinajpur,1949,8,33.6,25.9,291.0,88.0,0.885185185,5.8,5.208,41863,365790.2,834718.0,25.63,88.66,37,1949.08,1
5189,11209,Khulna,2011,2,33.0,16.2,1.0,71.0,1.2,0.7,8.2,41947,456632.4,521635.7,22.8,89.58,4,2011.02,0
5190,5965,Dinajpur,1954,2,32.8,14.1,0.0,67.0,0.72962963,0.0,7.232,41863,365790.2,834718.0,25.63,88.66,37,1954.02,0
5191,8989,Ishurdi,1998,2,31.2,14.5,12.0,74.0,0.6,2.1,7.0,41907,402483.2,667640.8,24.12,89.04,14,1998.02,0
5192,717,Barisal,2008,10,34.5,23.5,341.0,87.0,0.4,3.3,6.6,41950,536809.8,510151.9,22.7,90.36,4,2008.1,1
5193,759,Barisal,2012,4,37.3,23.7,223.0,79.0,2.9,4.1,7.3,41950,536809.8,510151.9,22.7,90.36,4,2012.04,1
5194,3155,Chittagong (IAP-Patenga),1978,12,30.2,15.7,0.0,72.0,1.9,1.0,8.2,41978,684570.9,471415.0,22.34,91.79,6,1978.12,0
5195,7496,Feni,1974,9,34.9,25.0,361.0,83.0,1.1,5.4,5.2,41943,640285.9,544954.5,23.01,91.37,8,1974.09,0
5196,9740,Jessore,1994,9,36.6,25.0,83.0,81.0,1.6,5.0,6.3,41936,420062.7,562498.8,23.17,89.22,7,1994.09,0
5197,11987,Madaripur,2001,12,29.5,14.2,0.0,83.0,0.3,0.9,6.9,41939,518762.7,561770.3,23.17,90.18,5,2001.12,0
5198,9260,Jessore,1954,9,34.4,25.9,159.0,88.0,2.17962963,5.9,4.761702128,41936,420062.7,562498.8,23.17,89.22,7,1954.09,0
5199,14357,Patuakhali,2004,6,35.2,25.8,277.0,89.0,0.9,5.9,3.3,41960,534986.1,472575.7,22.36,90.34,3,2004.06,0
5200,649,Barisal,2003,2,31.5,16.1,4.0,75.0,0.3,1.4,8.2,41950,536809.8,510151.9,22.7,90.36,4,2003.02,0
5201,14509,Rajshahi,1967,2,33.8,13.7,2.0,67.0,0.5,0.3,8.205714286,41895,353944.9,693386.6,24.35,88.56,20,1967.02,0
5202,10328,Khepupara,2003,9,34.0,26.0,239.0,87.0,0.6,5.3,4.8,41984,522893.1,430006.8,21.98,90.22,3,2003.09,0
5203,9823,Jessore,2001,8,35.8,26.4,109.0,85.0,1.6,6.2,5.1,41936,420062.7,562498.8,23.17,89.22,7,2001.08,0
5204,15480,Rangamati,1991,1,28.7,12.4,50.0,78.0,0.5,1.9,6.8,41966,725903.3,508021.9,22.67,92.2,63,1991.01,0
5205,15009,Rajshahi,2008,10,34.0,22.6,121.0,84.0,0.6,2.7,7.7,41895,353944.9,693386.6,24.35,88.56,20,2008.1,0
5206,1762,Bogra,1981,11,33.3,16.7,0.0,73.0,0.6,0.9,9.1,41883,435303.7,751187.5,24.88,89.36,20,1981.11,0
5207,17041,Sandwip,2013,2,33.7,15.5,0.0,69.0,1.8,1.4,7.9,41964,650012.1,488627.9,22.5,91.46,6,2013.02,0
5208,1514,Bogra,1961,3,38.3,18.5,1.0,59.0,1.2,1.5,8.5,41883,435303.7,751187.5,24.88,89.36,20,1961.03,0
5209,18676,Srimangal,1980,5,33.4,22.9,631.0,79.0,0.8,2.2,6.178571429,41915,675761.6,687095.9,24.29,91.73,23,1980.05,1
5210,13210,Mymensingh,1949,11,30.2,18.4,11.0,77.0,0.483333333,1.6,7.522857143,41886,540975.3,737535.8,24.75,90.41,19,1949.11,0
5211,19083,Sylhet,1956,4,35.8,21.4,229.0,75.24561404,1.914814815,3.7,6.863461538,41891,694533.2,752277.9,24.88,91.93,35,1956.04,0
5212,7154,Faridpur,1987,3,38.7,19.4,38.0,67.0,2.3,2.4,7.8,41929,483877.3,610719.3,23.61,89.84,9,1987.03,0
5213,5343,Dhaka,1968,4,37.7,22.8,27.0,69.0,2.1,3.7,8.1,41923,540098.6,629248.4,23.78,90.39,9,1968.04,0
5214,17945,Sitakunda,1985,6,34.0,25.7,441.0,82.0,2.7,6.7,2.1,41965,668856.2,504500.3,22.64,91.64,4,1985.06,1
5215,15086,Rangamati,1958,3,37.7,16.6,18.0,66.0,1.390740741,2.3,7.888888889,41966,725903.3,508021.9,22.67,92.2,63,1958.03,0
5216,944,Bhola,1979,9,32.1,25.5,0.0,88.0,0.0,5.3,3.787878788,41951,567637.6,510271.8,22.7,90.66,5,1979.09,0
5217,1440,Bogra,1955,1,25.8,11.7,8.0,70.0,0.875925926,1.5,7.296226415,41883,435303.7,751187.5,24.88,89.36,20,1955.01,0
